Sender,Message Content,Category
moe,"عزيزي الطالب/ الطالبة، حافظ على معلوماتك الشخصية مثل اسمك ومعلومات عائلتك ورقم الجوال وعنوان بيتك ولا تشاركها إلا مع الجهات الموثوقة وبعد استشارة الوالدين أو من تثق بهم من أفراد أسرتك. 

Dear student,
Protect your personal information such as your name, your family’s information, mobile number, and your location. Share your information only with trusted entities after consulting your parents and trusted family members.",Governmental
900,"صباح الخير زينب

لقد تمت إعادة تفعيل رقمك بنجاح. 
 
للتأكد من تقديم الخدمة بشكل أفضل، نرجو إعادة تشغيل الجوال مرة أخرى. 
 
نرجو أن تحوز خدماتنا على رضائكم. ",Telecommunications
900,"عذراً زينب
لا يوجد عروض خاصة لرقمك حالياً
حاول مرة أخرى لاحقاً
قد يتم إضافة عروض خاصة بك في أي وقت :)

لمعرفة العروض المفعّلة لديك حالياً أرسل 8999",Telecommunications
900,"مرحبا زينب
لا يوجد عرض مفعّل لديك حالياً..

لمعرفة جميع العروض الخاصة بك أرسل 888",Telecommunications
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  115.00 عن طريق سداد و ذلك علي عقد رقم RH0572396",Commercial
moe,"عزيزي المعلم وولي الأمر، 

التنمُّر الإلكتروني مشكلة تواجه طلابنا وطالباتنا، لذا تحدّث معهم عن التنمر الإلكتروني وأشكاله وكيفية التصدي له، وحثهم على الإبلاغ عن أي حالة تنمر يتعرضون لها.

Dear teachers and parents,
Cyberbullying is a major problem facing our students. Educate your students about its types, how to respond to it, and urge them to report any cyberbullying incidents that they may get exposed to.",Governmental
redtag,"٢٥٪خصم على السلع الغير مخفضة  حتى24th Mar, 2021.الرمز002838041 T&C",Promotional
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  920.00 عن طريق سداد و ذلك علي عقد رقم RH0575526",Commercial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  483.00 عن طريق سداد و ذلك علي عقد رقم RH0575533",Commercial
mewa,"#البيئة_لنا_ولأجيالنا

وزارة البيئة والمياه والزراعة",Governmental
mawarid,عميلنا العزيز / نعتذر منكم عن عدم اتمام زياراتكم غداً، لظروف خارجة عن ارادتنا وسيتم التواصل معكم قريباً لإعادة جدولتها.,Services
tamkeenhr,"شكرا لاختياركم لقد تم استلام مبلغ وقدره 514.48  في حسابكم بخصوص
 عقد تقديم خدمات بالساعة رقم فاتورة HS0078999  رقم العقد HRQ0132797",Commercial
mawarid,"تم إستلام شكوى  تحت رقم CASE-0077403

الموارد تهتم بخدمتك",Commercial
mawarid,"تم إستلام شكوى  تحت رقم CASE-0077412

الموارد تهتم بخدمتك",Commercial
mawarid,"تم إستلام شكوى  تحت رقم CASE-0077792

الموارد تهتم بخدمتك",Commercial
mawarid,عزيزنا العميل نعتذر من عدم تمكننا من تنفيذ الزيارة الخاصه بكم وتم تعويضها لأخر العقد كما يمكنك تعديل تاريخها من خلال التطبيق باختيار جدوله,Services
mawarid,عزيزي العميل تم اقفال الشكوى,Commercial
tamkeenhr,"شكرا لاختياركم لقد تم استلام مبلغ وقدره 179.40  في حسابكم بخصوص
 عقد تقديم خدمات بالساعة رقم فاتورة HS0079838  رقم العقد HRQ0134156",Commercial
tamkeenhr,"شكرا لاختياركم لقد تم استلام مبلغ وقدره 179.40  في حسابكم بخصوص
 عقد تقديم خدمات بالساعة رقم فاتورة HS0080473  رقم العقد HRQ0135113",Commercial
alrajhibank,عزيزتنا عميلة التميز، نهنئكم بحلول شهر رمضان المبارك وكل عام وأنتم بخير,Financial
5149,تم اشتراكك بالتبرع اليومي بمبلغ 1 ريال لصالح جمعية البر الخيرية بمحافظة عنيزة للإلغاء أرسل غ 2 إلى 5149 وللتبرع ب12 ريال شهرياً ارسل 1 إلى 5149 وللتبرع لمرة واحدة بمبلغ 10 ريال أرسل رسالة فارغة إلى 5149,Promotional
jood,"نشكر لك تبرعك
تقبل الله منكم
نتشرف بتكرار زيارتكم
جمعية البر الخيرية بمحافظة طبرجل",Commercial
900,"مساء الخير زينب
نود فقط إبلاغك بأنك استنفذت 80% من كمية الدقائق المجانية داخل الشبكة المتاحة في باقتك.

بإمكانك معرفة الدقائق المتبقية من خلال تطبيق mystc",Telecommunications
alrajhibank,"عزيزتنا عميلة التميز ،
لتفادي عمليات الاحتيال لا  تشاركي معلوماتك الشخصية والمصرفية، موظف المصرف لن يطلب منك الإفصاح عن معلوماتك او بياناتك البنكية من خلال الرسائل النصية او مكالمة هاتفية كرقم بطاقة الصراف او الرقم السري للبطاقة، او رقم الحساب او الرمز المرسل لجوالك.",Financial
900,"مساء الخير زينب
نود فقط إبلاغك بأنك استنفذت كامل الدقائق المجانية داخل الشبكة المتاحة في باقتك.
سيتم احتساب المكالمات بحسب التعرفه المحلية ٢٠ هللة للدقيقة.",Telecommunications
tamkeenhr,"شكرا لاختياركم لقد تم استلام مبلغ وقدره 225.40  في حسابكم بخصوص
 عقد تقديم خدمات بالساعة رقم فاتورة HS0083295  رقم العقد HRQ0140079",Commercial
moia,أخي المصلي : يزداد خطر الإصابة بفيروس كورونا في الأماكن المزدحمة ، فتوجه إلي المساجد غير المكتظة .,Governmental
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  143.75 عن طريق سداد و ذلك علي عقد رقم RH0632686",Commercial
edialouguec,"مرحبا ً 
استلمنا طلبك لاستعادة كلمة المرور
برجاء استخدام الكود 251 
لإعادة تعيين كلمة المرور

أجرك ينتظرك
بوابة العطاء
 ركن الحوار",Governmental
edialouguec,"اللهم اعطِ منفقاً خلفاً

تقبل الله منك وأخلفك خيراً في وقتك ومالك 
ننتظر عودتك قريباً 

بوابة العطاء
 ركن الحوار",Governmental
alrajhibank,عزيزتنا عميلة التميز نهنئكم بعيد الفطر المبارك، تقبل الله صيامكم وصالح أعمالكم وكل عام وأنتم بخير,Financial
900,"تقبّل الله منا ومنك الطاعات زينب 🤲🏻 
عيدك مبارك 💜",Promotional
spha,"كل عام وانتم بخير

نحرص جميعاً على تطبيق التباعد، وتجنب التجمّعات الكبيرة.

لبس الكمامة، تعقيم اليدين، ترك مسافة آمنة بينك وبين الآخرين.

هيئة الصحة العامة - وقاية",Governmental
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  143.75 عن طريق سداد و ذلك علي عقد رقم RH0650372",Commercial
mawarid,"تم الضحك على ""عميلتا العزيز نشكرك علي اهتمامك و نرجو ان تنال جميع الزيارات القادمة علي نفس درجة من الرضا                                  الموارد نهتم بخدمتك """,Services
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  115.00 عن طريق سداد و ذلك علي عقد رقم RH0655726",Commercial
tawakkalna,"تبرعك ينقذ حياة..
سجل تبرّعك لمبادرة #ومن_أحياها؛ للتبرع بالأعضاء عبر تطبيق توكلنا

""وَمَنْ أَحْيَاهَا فَكَأَنَّمَا أَحْيَا النَّاسَ جَمِيعًا""",Governmental
ikea sa,مرحبا,Stores
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  138.00 عن طريق سداد و ذلك علي عقد رقم RH0678799",Commercial
shipa,Your simsimbuy order has been delivered. Thank you for using Shipa Delivery.,Stores
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  126.50 عن طريق سداد و ذلك علي عقد رقم RH0686429",Commercial
moh,"عزيزنا المستفيد،
لأنك أولوية، أنت الآن مؤهل للحصول على الجرعة الثانية حسب الفئة العمرية ٥٠ عام هجري فما فوق، نرجو منك حجز موعد باستخدام تطبيقي صحتي.
الصحة تتمنى لك السلامة

Dear customer, 
Because you are a priority, you are now eligible for your second dose based on the age group of 50 Hijri years and above. Please book your appointment through Sehhaty App.
MoH wishes you well",Governmental
alrajhicptl,عزيزي العميل نفيدكم بأنه تم تحديث بيانات نموذج معرفة العميل.,Financial
moi.gov.sa,"الخدمات الإلكترونية لـ وزارة العدل
أدخل الرمز:",Governmental
hrsd,"أخي المواطن والمقيم
يرتبط كثير من المتسولين بشبكات وعصابات منظمة وجماعات مشبوهة، فلا تكن شريكاً لهم.",Governmental
alrajhicptl,عزيزنا العميل، شكرا للتسجيل في التداول الالكتروني. اسم المستخدم الخاص بكم هو:,Financial
900,"عذراً .. لم أستطع تحديد ما تبحث عنه.
يرجى إرسال كلمة (مساعدة) للحصول على القائمة الرئيسية.",Telecommunications
alrajhibank,"تأهل للفوز بقيمة مشترياتك واسترداد نقدي حتى 5٪ للعمليات الدولية باستخدام البطاقة الائتمانية ومسبقة الدفع.العرض حتى31-8-2021.قم بزيارة الموقع.
تطبق الشروط والأحكام",Financial
takaful.sa,"نشكر لك تبرعك 

تقبل الله منكم
جمعية تكافل الخيرية لرعاية الأيتام بالمدينة المنورة ",Commercial
900,"صباح الخير زينب
نود فقط إبلاغك بأنك استنفذت 80% من كمية الدقائق المجانية داخل الشبكة المتاحة في باقتك.

بإمكانك معرفة الدقائق المتبقية من خلال تطبيق mystc",Telecommunications
aramex,"Your aramex activation key is: 6524, if you did not register, please ignore this message",Stores
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  130.00 عن طريق سداد و ذلك علي عقد رقم RH0714941",Commercial
900,"عيدك مبارك زينب 
وكل عام وأنت بخير 💜",Promotional
alrajhibank,"عزيزتنا  زينب،
نهنئكم بعيد الاضحى المبارك، وكل عام وانتم بخير",Promotional
801641,You have been successfully unsubscribed from service Playtournament.,Services
5149,عزيزي العميل: لقد تم الغاء إشتراكك بنجاح في قناة التبرع اليومي وللتبرع ب12 ريال شهرياً ارسل 1 إلى 5149 وللتبرع لمرة واحدة بـ 10 ريال أرسل رسالة فارغة إلى 5149,Promotional
966509188144,ام محمد جت لسيارة، انا موقف اول ما تنزلين من الدرج ,Personal
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  120.00 عن طريق سداد و ذلك علي عقد رقم RH0741466",Commercial
seha.sa,"عزيزي زينب نود إشعارك بإنه تم إصدار إجازة مرضية لـ 10 أيام برقم GSL21080803440
ويمكنك الاطلاع عليها عبر تطبيق صحتي
دمتم بصحة",Health
smasco,"""Marhabtain, We are present at the location waiting for you to answer the call to deliver the visit.",Services
smasco,"مرحبتين أ.  زينب  ،

تحية طيبة، لم يتم تنفيذ الزيارة لهذا اليوم بسبب عدم الرد على الاتصال وتعتبر الزيارة نافذة بموجب العقد وشكرا.",Services
stc,"عميلنا العزيز، 

تقتضي إجراءاتنا بضرورة إشعاركم من خلال قنواتنا الرسمية قبل الزيارات الفنية داخل مواقع العملاء، مؤكدين وجوب إبراز هوية العمل الخاصة بممثلنا ..والتزامنا بالإجراءات الصحية الوقائية المعتمدة من قبل فريق stc .

يومك سعيد",Promotional
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  120.00 عن طريق سداد و ذلك علي عقد رقم RH0750548",Commercial
alrajhibank,عميلنا العزيز تمويلك جاهز، يمكنك الدخول على التطبيق والتنفيذ فوراً,Financial
mawarid,"عميلنا العزيز 
تم إستلام مبلغ  120.00 عن طريق سداد و ذلك علي عقد رقم RH0759653",Commercial
iam.gov.sa,"الرقم السري المؤقت للدخول الى نافذ هو:
النفاذ الوطني الموحد",Governmental
smasco,مرحبتين أ.  زينب  ، تم التواصل معكم بخصوص طلبكم ولم يتم الرد وشكراً .,Services
stc,"عميلنا العزيز،
 
يمكنك إجراء المكالمات واستخدام الإنترنت من خلال خدمة التجوال المحلي على شبكة الهاتف المتنقل لشركات الاتصالات المتوفرة بكافة قرى وهجر منطقة عسير، ولن يتم احتساب أي مبالغ إضافية عند استخدام هذه الخدمة. 
 
خدمة (التجوال المحلي) تعمل على الشبكات التالية: (Zain/Mobily).
 
في حال وجود ملاحظات أو استفسارات يمكن التواصل مع مركز خدمة العملاء 900. 
 
يومك سعيد",Promotional
alrajhibank,اشعار:تم تغيير كلمة المرور لقنوات المباشر للأفراد بنجاح,Financial
tadawulaty,تم إنشاء حسابك بنجاح في نظام تداولاتي,Financial
900,"عذراً زينب
تم إلغاء عملية شحن الرصيد التي قمت بطلبها مؤخراً.

السبب:
وجود عملية شحن أخرى لديك جاري تنفيذها.يرجى المحاولة لاحقاً.",Telecommunications
najdah,"أهلًا!
مسؤول التوصيل غادر مقر الانطلاق وهو في طريقه إليك سيقوم بالاتصال بك  حين الوصول وسيغادر بعد 5 دقائق من وصوله لك، نأمل الاستعداد للاستلام.

وقت الوصول بالفترة المسائية: من 4:00م - 6:00م


نجدة",Services
alrajhibank,"عزيزي العميل،
استفد من عروض شهر التمويل وتقدم بطلبك الآن من خلال زيارة اقرب فرع
تطبق الشروط والاحكام",Financial
najdah,"أهلًا!
مسؤول التوصيل غادر مقر الانطلاق وهو في طريقه إليك سيقوم بالاتصال بك  حين الوصول وسيغادر بعد 5 دقائق من وصوله لك، نأمل الاستعداد للاستلام.

وقت الوصول بالفترة المسائية: من 4:00م - 6:00م

نجدة",Services
najdah,"أهلًا!
مسؤول التوصيل غادر مقر الانطلاق وهو في طريقه إليك سيقوم بالاتصال بك حين الوصول وسيغادر بعد 5 دقائق من وصوله لك، نأمل الاستعداد للاستلام.
وقت الوصول بالفترة المسائية: من 4:00م - 6:00م

نجدة",Services
alrajhibank,اشعار:تم تسجيل جهاز جديد للدخول لتطبيق الراجحي باستخدام الدخول السريع,Financial
alrajhibank,اشعار:تم تفعيل خدمة الدخول السريع لتطبيق الراجحي,Financial
iam.gov.sa,"الرقم السري المؤقت للدخول الى نافذ هو: 2489
النفاذ الوطني الموحد",Governmental
stc,"عميلنا العزيز،
 
يمكنك إجراء المكالمات واستخدام الإنترنت من خلال خدمة التجوال المحلي على شبكة الهاتف المتنقل لشركات الاتصالات المتوفرة بكافة قرى وهجر منطقة الرياض، ولن يتم احتساب أي مبالغ إضافية عند استخدام هذه الخدمة.
 
خدمة (التجوال المحلي) تعمل على الشبكات التالية: (Zain/Mobily).
 
في حال وجود ملاحظات أو استفسارات يمكن التواصل مع مركز خدمة العملاء 900.
 
يومك سعيد",Promotional
dr.alhabib,"يسرنا أن نقدم خدمة الإنترنت: 
Wifi:HMG-Guest
User:4646
PWD:1063",Health
mngha,"نهنئكم بمناسبة اليوم الوطني العزيز على قلوبنا. 

نجدد لكم حرصنا على تقديم افضل  الرعاية الصحية  لتصل إلى مستوى رضاكم. 
كل عام وقيادتنا ووطننا العظيم وأهله بخير.

مع تحيات
علاقات المرضى - الشؤون الصحية- وزارة الحرس الوطني",Governmental
stc,عميلنا العزيز، نود إبلاغكم بإنتهاء 10% Discount on Monthly Rental - خصم 10% على رسوم الإشتراك الشهرية اليوم. لمعرفة باقتك الحالية أرسل الرمز 4005 إلى 900.,Promotional
900,"مساء الخير زينب .. 
باقتك الحالية هي: مفوتر 2",Telecommunications
snb-alahli,"لقد قمت بتعميد رقم جوالك هذا حيث سيقوم البنك الأهلي السعودي بإرسال الرسائل 
النصية إليه	",Financial
snb-alahli,تم تسجيل خاصية البصمة للأهلي موبايل.,Financial
namshi,شكراً لتسوقك من نمشي. لقد تم استلام طلبك SA994024746 وسيتم شحنه قريباً. سنبقى على تواصل معك لإعلامك بآخر المستجدات!,Stores
alrajhibank,"عزيزي العميل،
لقد تم إيداع  رسوم التمويل الإدارية بقيمة 2,722.84 ريال، كرصيد في حساب بطاقتك المنتهية ب 5599، يسعدنا خدمتك و نتمنى أن تحظى بتجربة تسوق ممتعة مع بطاقات مصرف الراجحي.",Financial
namshi,نأسف على تأخير الطلبية! فريق نمشي يعمل جاهدا على التوصيل في أقرب وقت.,Stores
sehhaty,عزيزنا المستخدم، تم إعادة جدولة موعدكم الثاني. ونفيدكم علمًا بأن التغيب عن الموعد الثاني يؤدي الى فقدان الجرعة الأولى لفعاليتها.,Health
snb-alahli,تم الدخول بخاصية البصمة للأهلي موبايل,Financial
riva online,شكراً لتسوقك معنا، رمز تأكيد طلبك من ريفا فاشن هو 4499,Stores
